keys,en,it
Find the idol and run!,Find the idol and run!,Trova l'idolo e scappa!
Find a way to get in,Find a way to get in,Trova un modo per entrare
The front door is open!,The front door is open!,La porta di fronte si è aperta!
Get in and take the idol!,Get in and take the idol!,Entra e prendi l'idolo!
The idol is vanishing! Get back!,The idol is vanishing! Get back!,L'idolo sta svanendo! Stai indietro!
It's a trap! Get out! Get out!,It's a trap! Get out! Get out!,È una trappola! Esci! Esci!
You escaped the ruins!,You escaped the ruins!,Sei fuggito dalle rovine!
"The golden idol was cursed, a trap almost killed you.","The golden idol was cursed, a trap almost killed you.","L'idolo d'oro era maledetto, ti ha quasi ucciso."
This time you'll have to give up,This time you'll have to give up,Per questa volta devi rinunciare
Sooner or later you'll catch the idol!,Sooner or later you'll catch the idol!,Prima o poi riuscirai a prendere l'idolo!
YOU DIED,YOU DIED,SEI MORTO
use,use,usa
Use,Use,Usa
Pull,Pull,Tira
Pick,Pick,Prendi
jump,jump,salta
San Martino's quest,San Martino's quest,San Martino's quest
Start,Start,Avvia gioco
Options,Options,Opzioni
Exit,Exit,Esci
Language,Language,Lingua
Mouse look sensitivity,Mouse look sensitivity,Sensibilità mouse
Joystick look sensitivity,Joystick look sensitivity,Sensibilità joystick
Full screen,Full screen,Schermo intero
it_it,Italian,Italiano
en_en,English,Inglese
